iter	Passed	Remaining
938	2370	7728
939	2372	7724
940	2375	7722
941	2377	7719
942	2380	7717
943	2383	7715
944	2385	7712
945	2388	7710
946	2391	7708
947	2393	7705
948	2395	7702
949	2397	7698
950	2400	7696
951	2403	7694
952	2406	7692
953	2408	7690
954	2411	7688
955	2413	7686
956	2416	7683
957	2419	7681
958	2421	7678
959	2423	7675
960	2426	7672
961	2429	7670
962	2431	7667
963	2433	7664
964	2436	7663
965	2438	7659
966	2441	7656
967	2443	7653
968	2446	7651
969	2448	7648
970	2451	7645
971	2453	7642
972	2455	7639
973	2458	7637
974	2460	7633
975	2463	7632
976	2465	7629
977	2468	7626
978	2470	7623
979	2473	7621
980	2475	7617
981	2477	7615
982	2480	7613
983	2483	7610
984	2485	7607
985	2487	7605
986	2490	7601
987	2492	7598
988	2495	7596
989	2497	7594
990	2499	7590
991	2502	7588
992	2504	7584
993	2507	7582
994	2509	7580
995	2512	7577
996	2514	7575
997	2517	7572
998	2519	7569
999	2521	7565
1000	2524	7562
1001	2526	7560
1002	2529	7558
1003	2531	7555
1004	2534	7552
1005	2536	7549
1006	2539	7546
1007	2541	7544
1008	2544	7542
1009	2546	7539
1010	2549	7536
1011	2551	7532
1012	2553	7529
1013	2555	7526
1014	2558	7525
1015	2561	7523
1016	2563	7520
1017	2566	7517
1018	2568	7514
1019	2570	7511
1020	2573	7508
1021	2576	7506
1022	2578	7504
1023	2581	7501
1024	2583	7498
1025	2585	7495
1026	2588	7492
1027	2591	7491
1028	2593	7489
1029	2596	7485
1030	2598	7482
1031	2600	7479
1032	2603	7477
1033	2606	7475
1034	2608	7473
1035	2610	7470
1036	2613	7466
1037	2615	7463
1038	2617	7460
1039	2620	7457
1040	2622	7455
1041	2625	7452
1042	2627	7448
1043	2629	7445
1044	2631	7442
1045	2634	7439
1046	2636	7436
1047	2639	7434
1048	2641	7432
1049	2644	7429
1050	2646	7425
1051	2648	7422
1052	2650	7417
1053	2652	7414
1054	2655	7412
1055	2657	7409
1056	2660	7406
1057	2662	7403
1058	2664	7400
1059	2667	7397
1060	2669	7394
1061	2672	7393
1062	2674	7390
1063	2677	7387
1064	2679	7384
1065	2681	7381
1066	2684	7377
1067	2686	7376
1068	2689	7373
1069	2691	7370
1070	2693	7367
1071	2696	7364
1072	2698	7361
1073	2700	7358
1074	2703	7355
1075	2705	7353
1076	2708	7350
1077	2711	7348
1078	2713	7345
1079	2715	7342
1080	2718	7340
1081	2721	7338
1082	2723	7335
1083	2725	7331
1084	2728	7329
1085	2730	7326
1086	2733	7324
1087	2735	7322
1088	2737	7317
1089	2739	7314
1090	2741	7310
1091	2744	7307
1092	2746	7303
1093	2748	7301
1094	2751	7298
1095	2753	7296
1096	2756	7293
1097	2758	7290
1098	2760	7287
1099	2763	7284
1100	2765	7282
1101	2768	7280
1102	2770	7277
1103	2773	7274
1104	2777	7275
1105	2780	7275
1106	2783	7274
1107	2786	7274
1108	2789	7272
1109	2792	7271
1110	2795	7268
1111	2797	7266
1112	2800	7263
1113	2802	7261
1114	2805	7258
1115	2807	7255
1116	2809	7251
1117	2812	7248
1118	2814	7245
1119	2816	7241
1120	2818	7238
1121	2820	7234
1122	2823	7232
1123	2825	7230
1124	2828	7227
1125	2830	7224
1126	2832	7220
1127	2834	7217
1128	2837	7214
1129	2839	7212
1130	2842	7209
1131	2844	7206
1132	2846	7203
1133	2848	7199
1134	2851	7196
1135	2853	7193
1136	2855	7190
1137	2858	7187
1138	2860	7184
1139	2862	7182
1140	2865	7179
1141	2867	7175
1142	2869	7171
1143	2871	7168
1144	2873	7165
1145	2876	7163
1146	2877	7158
1147	2880	7156
1148	2882	7153
1149	2885	7150
1150	2887	7148
1151	2890	7145
1152	2892	7142
1153	2894	7138
1154	2897	7136
1155	2898	7130
1156	2900	7127
1157	2902	7124
1158	2905	7122
1159	2908	7119
1160	2910	7117
1161	2912	7113
1162	2914	7110
1163	2916	7106
1164	2919	7104
1165	2921	7101
1166	2924	7098
1167	2926	7095
1168	2928	7091
1169	2930	7088
1170	2932	7085
1171	2935	7083
1172	2938	7081
1173	2939	7075
1174	2941	7071
1175	2943	7069
1176	2945	7065
1177	2948	7062
1178	2950	7060
1179	2953	7057
1180	2955	7054
1181	2957	7050
1182	2959	7047
1183	2961	7044
1184	2963	7040
1185	2966	7037
1186	2968	7035
1187	2971	7032
1188	2973	7029
1189	2975	7026
1190	2977	7023
1191	2980	7020
1192	2982	7017
1193	2985	7015
1194	2987	7012
1195	2989	7007
1196	2991	7004
1197	2993	7001
1198	2995	6997
1199	2997	6995
1200	3000	6992
1201	3003	6991
1202	3005	6987
1203	3008	6985
1204	3010	6982
1205	3012	6979
1206	3015	6977
1207	3016	6972
1208	3019	6969
1209	3021	6966
1210	3023	6963
1211	3025	6960
1212	3028	6957
1213	3030	6955
1214	3033	6953
1215	3035	6948
1216	3037	6946
1217	3039	6943
1218	3041	6938
1219	3043	6935
1220	3046	6933
1221	3049	6931
1222	3051	6929
1223	3054	6926
1224	3056	6924
1225	3058	6920
1226	3061	6918
1227	3063	6916
1228	3066	6913
1229	3067	6908
1230	3070	6906
1231	3072	6902
1232	3074	6900
1233	3077	6897
1234	3080	6895
1235	3082	6893
1236	3084	6890
1237	3087	6887
1238	3089	6885
1239	3091	6882
1240	3094	6878
1241	3096	6875
1242	3099	6873
1243	3101	6870
1244	3103	6867
1245	3105	6864
1246	3107	6861
1247	3110	6859
1248	3113	6857
1249	3115	6855
1250	3117	6849
1251	3119	6846
1252	3121	6844
1253	3124	6841
1254	3126	6839
1255	3129	6837
1256	3131	6834
1257	3133	6830
1258	3136	6828
1259	3138	6825
1260	3141	6822
1261	3143	6820
1262	3146	6818
1263	3148	6815
1264	3151	6812
1265	3153	6810
1266	3155	6807
1267	3158	6804
1268	3160	6802
1269	3163	6800
1270	3166	6797
1271	3167	6793
1272	3169	6790
1273	3172	6787
1274	3175	6785
1275	3177	6783
1276	3180	6781
1277	3182	6778
1278	3184	6775
1279	3186	6771
1280	3189	6769
1281	3191	6767
1282	3193	6763
1283	3196	6760
1284	3198	6757
1285	3200	6754
1286	3203	6752
1287	3205	6750
1288	3208	6748
1289	3211	6746
1290	3213	6743
1291	3216	6741
1292	3218	6738
1293	3220	6735
1294	3223	6734
1295	3226	6732
1296	3228	6728
1297	3231	6725
1298	3233	6723
1299	3235	6719
1300	3237	6717
1301	3240	6714
1302	3242	6711
1303	3245	6708
1304	3247	6706
1305	3249	6703
1306	3252	6700
1307	3254	6698
1308	3257	6696
1309	3260	6694
1310	3262	6691
1311	3265	6689
1312	3267	6687
